"VARIABLENAME","VARIABLELABEL","VARTYPE","UNITS","CATEGORICAL","MISSING","COUNT","NA","MIN","MAX","Formula","Categorical Value Concept Code","Categorical Value Concept Name","Categorical Value OMOP ID","Variable Concept Code","Variable Concept Name","Variable OMOP ID","Additional Context Concept Name","Additional Context Concept Code","Additional Context OMOP ID","Unit Concept Name","Unit Concept Code","Unit OMOP ID","Domain","Visits","Visit OMOP ID","Visit Concept Name","Visit Concept Code"
"ACE","Angiotensin-converting enzyme inhibitors","STR",,"ramipril=ramipril|enalapril=enalapril|perindopril=perindopril",,185,657,,,,"rxnorm:35296|rxnorm:3827|rxnorm:54552","ramipril|enalapril|perindopril","1334456|1341927|1373225","atc:C09AA","""ACE inhibitors, plain""",21601784,"Type","snomed:410656007",4259643,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"ACE_dd","original dosage of angiotensin-converting enzyme inhibitor","FLOAT","mg",,,842,0,0,20,,,,,"atc:C09AA","""ACE inhibitors, plain""",21601784,"Dosage","snomed:260911001",4118853,"milligram","ucum:mg",8576,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"AddDiuretics","additional diuretics","STR",,"xipamid=xipamide",,20,822,,,,"loinc:LA33-6","Yes",45877994,"rxnorm:11371","xipamide",19010493,,,,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"AddDiuretics_dd","original dosage of additional diuretics","FLOAT","mg",,,842,0,,,,,,,"rxnorm:11371","xipamide",19010493,"Dosage","snomed:260911001",4118853,"milligram","ucum:mg",8576,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"Age","age at visit","INT","years",,,842,0,23,93,,,,,"loinc:30525-0","Age",3022304,,,,"year","ucum:a",9448,"Person","visit date",46235916,"Visit date","loinc:76427-4"
"ALT","Alanine aminotransferase","FLOAT","U/l",,,842,0,5,241,,,,,"loinc:76625-3","Alanine aminotransferase [Enzymatic activity/volume] in Blood",46235106,,,,"international unit per liter","ucum:[iU]/L",8923,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
"ARB","Angiotensin II receptor blockers","STR",,"candesartan=candesartan|losartan=losartan|valsartan=valsartan|telmisartan=telmisartan",,119,723,,,,"rxnorm:214354|rxnorm:52175|rxnorm:69749|rxnorm:73494","candesartan|losartan|valsartan|telmisartan","1351557|1367500|1308842|1317640","snomed:734629003","Angiotensin II receptor antagonist",42536050,,,,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"ARB_dd","original dosage of ARB","FLOAT","mg",,,842,0,0,320,,,,,"snomed:734629003","Angiotensin II receptor antagonist",42536050,"Dosage","snomed:260911001",4118853,"milligram","ucum:mg",8576,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"ARNI","sacubitril/valsartan","STR",,"sacubitril/valsartan=sacubitril/valsartan",,471,371,,,,"rxnorm:1656338","sacubitril / valsartan Oral Tablet",46275724,"rxnorm:1656339","sacubitril/valsartan",778939,,,,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"ARNI_dd","original dosage of ARNI","FLOAT","mg",,,842,0,0,400,,,,,"rxnorm:1656339","sacubitril/valsartan",778939,"Dosage","snomed:260911001",4118853,"milligram","ucum:mg",8576,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"AST","Aspartate aminotransferase","FLOAT","U/l",,,842,0,5,230,,,,,"loinc:1920-8","Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma",3013721,,,,"international unit per liter","ucum:[iU]/L",8923,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
"Atrialfibrillation","History of atrial fibrillation","INT",,"0=no|1=yes",,842,0,,,,"loinc:LA32-8|loinc:LA33-6","No|Yes","45878245|45877994","snomed:49436004","Atrial fibrillation",313217,,,,,,,"Observation","visit date",46235916,"Visit date","loinc:76427-4"
"BB","Beta blockers","STR",,"bisoprolol=bisoprolol|metoprolol=metoprolol|carvedilol=carvedilol|nebivolol=nebivolol",,784,58,,,,"rxnorm:19484|rxnorm:6918|rxnorm:20352|rxnorm:31555","bisoprolol|metoprolol|carvedilol|nebivolol","1338005|1307046|1346823|1314577","atc:C07A","BETA BLOCKING AGENTS",21601665,,,,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"BB_dd","original dosage of beta blockers","FLOAT","mg",,,842,0,0,200,,,,,"atc:C07A","BETA BLOCKING AGENTS",21601665,"Dosage","snomed:260911001",4118853,"milligram","ucum:mg",8576,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"BBdose","normalisation of beta blockers","FLOAT","percent",,,842,0,0,100,,,,,"atc:C07A","BETA BLOCKING AGENTS",21601665,"percentage target dose","icare:icv2000000042",2000000042,"percent","ucum:%",8554,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"BMI","body mass index","FLOAT","kg/m2",,,842,0,15,63.8,,,,,"loinc:39156-5","Body mass index (BMI) [Ratio]",3038553,,,,"kilogram per square meter","ucum:kg/m2",9531,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
"CKD","History of chronic kidney disease","INT",,"0=no|1=yes",,842,0,,,,"loinc:LA32-8|loinc:LA33-6","No|Yes","45878245|45877994","snomed:709044004","Chronic kidney disease",46271022,,,,,,,"Observation","visit date",46235916,"Visit date","loinc:76427-4"
"Creatinine","creatinine","FLOAT","mg/dl",,,842,0,0.28,5.27,,,,,"loinc:2160-0","creatinine [mass/volume] in serum or plasma",3016723,,,,"milligram per deciliter","ucum:mg/dL",8840,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
