"VARIABLENAME","VARIABLELABEL","VARTYPE","UNITS","CATEGORICAL","MISSING","COUNT","NA","MIN","MAX","Formula","categorical value concept code","categorical value concept name","categorical value omop id","variable concept code","variable concept name","variable omop id","additional context concept name","additional context concept code","additional context omop id","unit concept name","unit concept code","unit omop id","domain","visits","visit omop id","visit concept name","visit concept code"
"age","Age at randomization","INT",,,,6975,0,18,97,," "," "," ","loinc:30525-0","Age",3022304,,,,,,,"Person","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"ALCOOL","Alcohol at baseline","INT",,"2 = NO | 3 = YES",1,6973,2,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","snomed:219006","Current drinker",4074035,,,,,,,"Observation","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"ALLOPURI","Allopurinol at baseline","INT",,"2=No | 3=Yes",1,6975,0,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","rxnorm:519","Allopurinol",1167322,,,,,,,"Drug_Exposure","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"ALT","ALT (U/L) at baseline","FLOAT","U/L",,,6904,71,2,1504,,,,,"loinc:76625-3","Alanine aminotransferase [Enzymatic activity/volume] in Blood",46235106,,,,"unit per liter","ucum:[U]/L",8645,"Measurement","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"ALTACE","other ACE-inhibitor at baseline","INT",,"2=No | 3=Yes",1,6975,0,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","atc:C09AA","""ACE inhibitors, plain""",21601784,"Other","snomed:74964007",9177,,,,"Drug_Exposure","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"ALTANO","Other ECG abnormality at baseline","STR",,"F = No | T = Yes",,6975,0,,,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","loinc:LA24621-7","Abnormal ECG",36311174,,,,,,,"Measurement","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"ALTDIU","Other diuretics at baseline","INT",,"2=No | 3=Yes",1,6975,0,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","atc:C03","DIURETICS",21601461,"Other","snomed:74964007",9177,,,,"Drug_Exposure","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"ALTEZZA","Height (cm) at baseline","FLOAT","Centimeter",,,6971,4,100,199,,,,,"loinc:8302-2","Body height",3036277,,,,"centimeter","ucum:cm",8582,"Measurement","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"ALTROARI","Other antiarrhythmic agent at baseline","INT",,"2=No | 3=Yes",1,6975,0,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","atc:C01B","ANTIARRHYTHMICS, CLASS I AND III",21600248,"Other","snomed:74964007",9177,,,,"Drug_Exposure","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"ALTROBB","Other beta blocker at baseline","INT",,"2=No | 3=Yes",1,6975,0,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","atc:C07A","BETA BLOCKING AGENTS",21601665,"Other","snomed:74964007",9177,,,,"Drug_Exposure","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"ALTROCA","Other calcium antagonist at baseline","INT",,"2=No | 3=Yes",1,6975,0,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","atc:C08C","SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS",21601745,"Other","snomed:74964007",9177,,,,"Drug_Exposure","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"ALTRODIL","Other vasodilator at baseline","INT",,"2=No | 3=Yes",1,6975,0,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","snomed:372787008","Vasodilator",4158258,"Other","snomed:74964007",9177,,,,"Drug_Exposure","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"AMIODAR","Amiodarone at baseline","INT",,"2=No | 3=Yes",1,6975,0,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","rxnorm:703","Amiodarone",1309944,,,,,,,"Drug_Exposure","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"AMLOD","Amlodipine at baseline","INT",,"2=No | 3=Yes",1,6975,0,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","rxnorm:17767","Amlodipine",1332418,,,,,,,"Drug_Exposure","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"ANNISTU","Years of school at baseline","INT",,,,6875,100,0,25,,,,,"loinc:82590-1","Years of education [#] - Reported",42528764,,,,,,,"Person","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"ANNODIA","Year first diagnosis of HF","INT",,,,6967,8,1933,2005,,,,,"snomed:84114007","heart failure",316139,"date of diagnosis|year","loinc:63931-0|snomed:258707000","40766651|4119673",,,,"Condition_era","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"ANTIAGGR","Other antiaggregants at baseline","INT",,"2=No | 3=Yes",,6975,0,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","snomed:840595002","Platelet aggregation inhibitor therapy",3655005,"Other","snomed:74964007",9177,,,,"Drug_Exposure","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"ANTICOAG","Oral anticoagulants at baseline","INT",,"2=No | 3=Yes",1,6975,0,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","atc:B01A","ANTITHROMBOTIC AGENTS",21600961,,,,,,,"Drug_Exposure","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"ANTIDEPR","Antidepressants at baseline","INT",,"2=No | 3=Yes",1,6975,0,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","atc:N06A","antidepressants",21604686,,,,,,,"Drug_Exposure","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"APREANGI","Year Coronary angioplasty (only if Coronary angioplasty=Yes) at baseline","INT",,,,864,6111,1985,2005,,,,,"snomed:41339005","Coronary angioplasty",4184832,"Year","snomed:258707000",4119673,,,,"Condition_occurrence","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"APREBYP","Year CABG (only if Coronary Artery Bypass Graft=Yes) at baseline","INT",,,,1269,5706,1972,2004,,,,,"Snomed:232717009","Coronary Artery Bypass Graft",4336464,,,,,,,"Condition_occurrence","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"APREIMA","Year Acute Myocardial Infarction (if Acute Myocardial Infarction=Yes) at baseline","INT",,,,2815,4160,1943,2005,,,,,"snomed:57054005","Acute Myocardial Infarction",312327,"Year","snomed:258707000",4119673,,,,"Condition_occurrence","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"APREOSPE","Year last hospitalizations for HF during last year (only if Hospitalization for HF=Yes) at baseline","INT",,,,3384,3591,2001,2005,,,,,"snomed:416683003","Emergency hospital admission for heart failure",4215511,"Year|within past year","snomed:258707000|snomed:2511000175103","4119673|765460",,,,"Condition_occurrence","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"APRETRAP","Year registration in waiting list for cardiac transplantation (only if waiting list for cardiac transplantation=Yes) at baseline","INT",,,,36,6939,1999,2004,,,,,"snomed:471300007","on waiting list for organ transplant",43020581,"Year|patient registration|Transplantation of heart","snomed:258707000|snomed:184047000|snomed:32413006","4119673|4086442|4137127",,,,"Condition_occurrence","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"ASA","Acetylsalicylic acid at baseline","INT",,"2=No | 3=Yes",1,6975,0,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","rxnorm:1191","Aspirin",1112807,,,,,,,"Drug_Exposure","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"ASCITE","Ascitis at baseline","INT",," 2 = no | 3 = yes",1,6975,0,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| yes","45878245| 45877994","snomed:389026000","Ascites",200528,,,,,,,"Measurement","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"AST","AST (U/L) at baseline","FLOAT","U/L",,,6908,67,1,1351,,,,,"loinc:1920-8","Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma",3013721,,,,"unit per liter","ucum:[U]/L",8645,"Measurement","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"ATENO","Atenolol at baseline","INT",,"2=No | 3=Yes",1,6975,0,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","rxnorm:1202","Atenolol",1314002,,,,,,,"Drug_Exposure","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"BBRANCA","Bundle branch block at baseline","STR",,"F = No | T = Yes",,6975,0,,,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","snomed:6374002","Bundle branch block",313791,,,,,,,"Measurement","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"BENZOD","Benzodiazepine at baseline","INT",,"2=No | 3=Yes",1,6975,0,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","atc:N05BA","Benzodiazepine derivatives",21604565,,,,,,,"Drug_Exposure","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"BILIRUB","Bilirubine (mg/dl) at baseline","FLOAT","mg/dl",,,6562,413,0.02,18.2,,,,,"loinc:1975-2","bilirubin.total [mass/volume] in serum or plasma",3024128,,,,"milligram per deciliter","ucum:mg/dL",8840,"Measurement","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"BIRRA","Beer (if alcohol YES) at baseline","INT",,"2 = NO | 3 = sometimes | 4 = 1-2 glasses a day | 5 = 3-4 glasses a day | 6 = 5+ glasses a day",1,4613,2362,2,6,,"LOINC:LA32-8| LOINC:LA10082-8| LOINC:LA26462-4| SNOMED:396112008| loinc:LA13858-8","No| sometimes| 1 or 2 times per day|  Three to four times a day| 5 or more times per day","45878245| 45882528| 42530681| 4244842| 45882530","snomed:53410008","Beer",4201587,,,,,,,"Observation","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"BISOPRO","Bisoprolol at baseline","INT",,"2=No | 3=Yes",1,6975,0,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","rxnorm:19484","Bisoprolol",1338005,,,,,,,"Drug_Exposure","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"BURRO","Butter at baseline","INT",,"2 = never | 3 = sometimes | 4 = frequently | 5 = on a regular basis",1,6973,2,2,5,,"LOINC:LA6270-8| LOINC:LA10082-8| LOINC:LA6482-9| SNOMED:307430002","Never| sometimes| frequently| regular frequency","45876662| 45882528| 45883983| 4146463","snomed:226888007","Butter",4024776,,,,,,,"Observation","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"CAFFE","Coffee at baseline","INT",,"2 = never | 3 = 1-2 cups a day | 4 = 3-4 cups a day | 5 = 5+ cups a day",1,6973,2,2,5,,"SNOMED:444841000124107| SNOMED:396107007| SNOMED:396112008| loinc:LA13858-8","Never| One to two times a day| Three to four times a day| 5 or more times per day","763692| 4245244| 4244842| 45882530","snomed:29263009","Coffee",4162308,,,,,,,"Observation","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"CAPTO","Captopril at baseline","INT",,"2=No | 3=Yes",1,6975,0,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","rxnorm:1998","Captopril",1340128,,,,,,,"Drug_Exposure","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"CARDMEGA","Cardiomegaly at baseline","INT",," 2 = no | 3 = yes",1,2217,4758,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","snomed:8186001","Cardiomegaly",314658,,,,,,,"Measurement","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"CARVE","Carvedilol at baseline","INT",,"2=No | 3=Yes",1,6975,0,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","rxnorm:20352","Carvedilol",1346823,,,,,,,"Drug_Exposure","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"CAUSC","Main cause of HF","INT",,"2 = ischemic | 3 = dilatative cardiomyopathy | 4 = hypertension | 5 = alcohol | 6 = other | 7 = not determinable | 8 = unknown",1,6975,0,2,8,,"snomed:255426005|snomed:399020009|snomed:38341003|loinc:LA28139-6|snomed:74964007|snomed:1156316003|loinc:LA4489-6","ischemic|dilated cardiomyopathy|hypertension|alcohol|other|cannot be determined|unknown","4115429|4163710|316866|36310580|9177|607928|45877986","snomed:84114007","heart failure",316139,"Etiology","snomed:134198009",4046629,,,,"Observation","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"CHEESE","Cheese at baseline","INT",,"2 = never | 3 =2-3 times a week | 4 = once a day | 5= >1 times a day",1,6973,2,2,5,,"SNOMED:444841000124107| LOINC:LA26463-2| LOINC:LA13897-6| SNOMED:1411000175107","Never| 2 or 3 times per week| once a day| more than once a day","763692| 42531019| 45876378| 761069","snomed:102264005","Cheese",4008485,,,,,,,"Observation","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"CKTOT","CK total (U/L) at baseline","FLOAT","U/L",,,6764,211,4,1086,,,,,"loinc:2157-6","creatine kinase [enzymatic activity/volume] in serum or plasma",3007220,,,,"unit per liter","ucum:[U]/L",8645,"Measurement","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"CODR1","Patient code R1 at baseline","INT",,,,6975,0,1,9479,,,,,"snomed:184107009","Patient hospital number",4086934,,,,,,,"Person","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"COLEHDL","Cholesterol HDL (mg/dl) at baseline","FLOAT","mg/dl",,,6727,248,12,148,,,,,"loinc:2085-9","Cholesterol in HDL [Mass/volume] in Serum or Plasma",3007070,,,,"milligram per deciliter","ucum:mg/dL",8840,"Measurement","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"COLELDL","Cholesterol LDL (mg/dl) at baseline","FLOAT","mg/dl",,,6237,738,2,301,,,,,"loinc:2089-1","Cholesterol in LDL [Mass/volume] in Serum or Plasma",3028437,,,,"milligram per deciliter","ucum:mg/dL",8840,"Measurement","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"COLETOT","Total Cholesterol (mg/dl) at baseline","FLOAT","mg/dl",,,6915,60,52,393,,,,,"loinc:2093-3","Cholesterol [Mass/volume] in Serum or Plasma",3027114,,,,"milligram per deciliter","ucum:mg/dL",8840,"Measurement","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"CREATIN","Serum creatinine (mg/dl) at baseline","FLOAT","mg/dl",,,6935,40,0.2,12.1,,,,,"loinc:2160-0","creatinine [mass/volume] in serum or plasma",3016723,,,,"milligram per deciliter","ucum:mg/dL",8840,"Measurement","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"DALTACE","Dose other ACE-inhibitor (mg) at baseline","FLOAT","mg",,,671,6304,1,60,,,,,"atc:C09AA","""ACE inhibitors, plain""",21601784,"Dosage|Other","snomed:260911001|snomed:74964007","4118853|9177","milligram","ucum:mg",8576,"Drug_Exposure","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"DATAECG","ECG date at baseline","DATETIME","dd-mm-yyyy",,,6974,1,05/29/02,02/28/05,,,,,"loinc:LP149975-7","ECG",1011679,"Date of procedure","snomed:439272007",4232096,,,,"Observation_period","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"DATALAB","Date of laboratory exam at baseline","DATETIME","dd-mm-yyyy",,,6960,15,02/05/02,03/01/05,,,,,"snomed:281271004","Date sample received in laboratory",4084758,,,,,,,"Observation_period","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"DATAMISU","Date of determination","DATETIME","dd-mm-yyyy",,,6975,0,10/31/96,04/15/05,,,,,"snomed:406543005","Date of visit",4231970,,,,,,,"Observation_period","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"DATARAND","Randomization date","DATETIME","dd-mm-yyyy",,,6975,0,08/06/02,02/28/05,,,,,"icare:icv200000137","randomization date",2000000137,,,,,,,"Observation_period","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"DATENO","Dose Atenolol (mg) at baseline","FLOAT","mg",,,99,6876,25,100,,,,,"rxnorm:1202","Atenolol",1314002,"Dosage","snomed:260911001",4118853,"milligram","ucum:mg",8576,"Drug_Exposure","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"DBISOPRO","Dose Bisoprolol (mg) at baseline","FLOAT","mg",,,465,6510,0.6,12.5,,,,,"rxnorm:19484","Bisoprolol",1338005,"Dosage","snomed:260911001",4118853,"milligram","ucum:mg",8576,"Drug_Exposure","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"DCAPTO","Dose Captopril (mg) at baseline","FLOAT","mg",,,233,6742,6.2,300,,,,,"rxnorm:1998","Captopril",1340128,"Dosage","snomed:260911001",4118853,"milligram","ucum:mg",8576,"Drug_Exposure","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"DCARVE","Dose Carvedilol (mg) at baseline","FLOAT","mg",,,3688,3287,1.5,100,,,,,"rxnorm:20352","Carvedilol",1346823,"Dosage","snomed:260911001",4118853,"milligram","ucum:mg",8576,"Drug_Exposure","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"DEBMUSCO","Muscle weakness at baseline","INT",,"2 = never | 3 = sometimes | 4 = often | 5 = always",1,6974,1,2,5,,"LOINC:LA6270-8| LOINC:LA10082-8| LOINC:LA10044-8| LOINC:LA9933-8","Never| sometimes| often| always","45876662| 45882528| 45884455| 45882536","snomed:26544005","Muscle weakness",79908,,,,,,,"Measurement","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"DENALA","Dose Enalapril (mg) at baseline","FLOAT","mg",,,1921,5054,1,40,,,,,"rxnorm:3827","Enalapril",1341927,"Dosage","snomed:260911001",4118853,"milligram","ucum:mg",8576,"Drug_Exposure","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
"DESALTAC","Description other ACE-inhibitor at baseline","STR",,,,672,6303,,,,,,,"atc:C09AA","""ACE inhibitors, plain""",21601784,"Description|Other","loinc:LP6800-9|snomed:74964007","1029623|9177",,,,"Drug_Exposure","Visit1/baseline",40766819,"Baseline time","loinc:64103-5"
