"VARIABLENAME","VARIABLELABEL","VARTYPE","UNITS","CATEGORICAL","MISSING","COUNT","NA","MIN","MAX","Formula","categorical value concept code","categorical value concept name","categorical value omop id","variable concept code","variable concept name","variable omop id","additional context concept name","additional context concept code","additional context omop id","unit concept name","unit concept code","unit omop id","domain","visits","visit omop id","visit concept name","visit concept code"
"Hb","Hemoglobin at baseline g/dl","FLOAT","g/dl",,"999 |9999 ",620,2,75,178,,,,,"loinc:718-7","Hemoglobin [Mass/volume] in Blood",3000963,,,,"gram per deciliter","ucum:g/dL",8713,"Measurement","month 0/ baseline",40766819,"Baseline time","loinc:64103-5"
"Hb12","Hemoglobin at visit12","FLOAT","g/dl",,9999,434,188,92,172,,,,,"loinc:718-7","Hemoglobin [Mass/volume] in Blood",3000963,,,,"gram per deciliter","ucum:g/dL",8713,"Measurement","month 12",4081746,"follow-up 1 year","snomed:183627004"
"Hb18","Hemoglobin at visit18","FLOAT","g/dl",,9999,397,225,80,183,,,,,"loinc:718-7","Hemoglobin [Mass/volume] in Blood",3000963,,,,"gram per deciliter","ucum:g/dL",8713,"Measurement","month 18",44789050,"follow-up 18 months","snomed:199591000000102"
"Hb6","Hemoglobin at visit6","FLOAT","g/dl",,9999,437,185,69,183,,,,,"loinc:718-7","Hemoglobin [Mass/volume] in Blood",3000963,,,,"gram per deciliter","ucum:g/dL",8713,"Measurement","month 6",4103967,"follow-up 6 months","snomed:300042001"
"MCHC_12","Mean Corpuscular Hemoglobin Concentration at v12","FLOAT","g/dl",,,434,188,28.60635631787,37.5862079780819,,,,,"snomed:1022481000000109","MCHC - Mean corpuscular haemoglobin concentration",37393850,,,,"gram per deciliter","ucum:g/dL",8713,"Measurement","month 12",4081746,"follow-up 1 year","snomed:183627004"
"MCHC_18","Mean Corpuscular Hemoglobin Concentration at v18","FLOAT","g/dl",,,397,225,30.0578046902139,37.7777762766238,,,,,"snomed:1022481000000109","MCHC - Mean corpuscular haemoglobin concentration",37393850,,,,"gram per deciliter","ucum:g/dL",8713,"Measurement","month 18",44789050,"follow-up 18 months","snomed:199591000000102"
"MCHC_6","Mean Corpuscular Hemoglobin Concentration at v6","FLOAT","g/dl",,,436,186,28.6486482794395,37.2727257916422,,,,,"snomed:1022481000000109","MCHC - Mean corpuscular haemoglobin concentration",37393850,,,,"gram per deciliter","ucum:g/dL",8713,"Measurement","month 6",4103967,"follow-up 6 months","snomed:300042001"
"MCHC_BL","Mean Corpuscular Hemoglobin Concentration at BL","FLOAT","g/dl",,,619,3,28.3333339666327,36.7567562830544,,,,,"snomed:1022481000000109","MCHC - Mean corpuscular haemoglobin concentration",37393850,,,,"gram per deciliter","ucum:g/dL",8713,"Measurement","month 0/ baseline",40766819,"Baseline time","loinc:64103-5"
"AAabddim","Aortic aneurism abdominal diameter","FLOAT","cm",,9999,31,591,3,9999,,,,,"snomed:233985008","Abdominal aortic aneurysm",198177,"Aortic diameter","snomed:302287000",4114623,"centimeter","ucum:cm",8582,"Measurement","month 0/ baseline",40766819,"Baseline time","loinc:64103-5"
"AAthoraxdim","Aortic aneurism thorax diameter in cm","FLOAT","cm",,9999,11,611,3.7,9999,,,,,"snomed:433068007","Aneurysm of thoracic aorta",443622,"Aortic diameter","snomed:302287000",4114623,"centimeter","ucum:cm",8582,"Measurement","month 0/ baseline",40766819,"Baseline time","loinc:64103-5"
"Height","Height in cm","INT","cm",,,622,0,140,190,,,,,"loinc:8302-2","Body height",3036277,,,,"centimeter","ucum:cm",8582,"Measurement","month 0/ baseline",40766819,"Baseline time","loinc:64103-5"
"VTIAK","velocity time integral (VTI) Aortic valve at baseline","INT","cm",,,407,215,7,112,,,,,"loinc:18169-3","Aortic valve Blood velocity-time integral by US.doppler",3037486,"Echocardiography","snomed:40701008",4230911,"centimeter","ucum:cm",8582,"Measurement","month 0/ baseline",40766819,"Baseline time","loinc:64103-5"
"VTIAK_12","velocity time integral (VTI) Aortic valve at visit12","INT","cm",,,,,,,,,,,"loinc:18169-3","Aortic valve Blood velocity-time integral by US.doppler",3037486,"Echocardiography","snomed:40701008",4230911,"centimeter","ucum:cm",8582,"Measurement","month 12",4081746,"follow-up 1 year","snomed:183627004"
"VTIAK_18","velocity time integral (VTI) Aortic valve at visit18","INT","cm",,,,,,,,,,,"loinc:18169-3","Aortic valve Blood velocity-time integral by US.doppler",3037486,"Echocardiography","snomed:40701008",4230911,"centimeter","ucum:cm",8582,"Measurement","month 18",44789050,"follow-up 18 months","snomed:199591000000102"
"VTILVOT","Left ventricular outflow velocity-time integral (LVOT-VTI) at baseline","INT","cm",,,200,422,5,31,,,,,"loinc:18170-1","Left ventricular outflow tract Blood velocity-time integral by US.doppler",3004421,"Echocardiography","snomed:40701008",4230911,"centimeter","ucum:cm",8582,"Measurement","month 0/ baseline",40766819,"Baseline time","loinc:64103-5"
"VTILVOT_12","Left ventricular outflow velocity-time integral (LVOT-VTI) at visit12","INT","cm",,,,,,,,,,,"loinc:18170-1","Left ventricular outflow tract Blood velocity-time integral by US.doppler",3004421,"Echocardiography","snomed:40701008",4230911,"centimeter","ucum:cm",8582,"Measurement","month 12",4081746,"follow-up 1 year","snomed:183627004"
"VTILVOT_18","Left ventricular outflow velocity-time integral (LVOT-VTI)at visit18","INT","cm",,,,,,,,,,,"loinc:18170-1","Left ventricular outflow tract Blood velocity-time integral by US.doppler",3004421,"Echocardiography","snomed:40701008",4230911,"centimeter","ucum:cm",8582,"Measurement","month 18",44789050,"follow-up 18 months","snomed:199591000000102"
"A","a-wave mitral valve at baseline","INT","cm/s",,0,316,306,13,173,,,,,"loinc:80066-4","Mitral valve Maximum A-wave velocity by US.doppler",21494310,"Echocardiography","snomed:40701008",4230911,"centimeter per second","ucum:cm/s",32738,"Measurement","month 0/ baseline",40766819,"Baseline time","loinc:64103-5"
"A_12","a-wave mitral valve at visit12","INT","cm/s",,0,,,,,,,,,"loinc:80066-4","Mitral valve Maximum A-wave velocity by US.doppler",21494310,"Echocardiography","snomed:40701008",4230911,"centimeter per second","ucum:cm/s",32738,"Measurement","month 12",4081746,"follow-up 1 year","snomed:183627004"
"A_18","a-wave mitral valve at visit18","INT","cm/s",,0,,,,,,,,,"loinc:80066-4","Mitral valve Maximum A-wave velocity by US.doppler",21494310,"Echocardiography","snomed:40701008",4230911,"centimeter per second","ucum:cm/s",32738,"Measurement","month 18",44789050,"follow-up 18 months","snomed:199591000000102"
"E","E-wave mitral valve at baseline","INT","cm/s",,0,490,132,11,194,,,,,"loinc:80070-6","Mitral valve Maximum E-wave velocity by US.doppler",21494314,"Echocardiography","snomed:40701008",4230911,"centimeter per second","ucum:cm/s",32738,"Measurement","month 0/ baseline",40766819,"Baseline time","loinc:64103-5"
