value_name,value_description,attribute_description
american indian or alaska native,A person having origins in any of the original peoples of North and South America (including Central America) and who maintains tribal affiliation or community attachment. (OMB),"An arbitrary classification of a taxonomic group that is a division of a species. It usually arises as a consequence of geographical isolation within a species and is characterized by shared heredity, physical attributes and behavior, and in the case of humans, by common history, nationality, or geographic distribution. The provided values are based on the categories defined by the U.S. Office of Management and Business and used by the U.S. Census Bureau."
asian,"A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent, including for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam. (OMB)",
black or african american,"A person having origins in any of the Black racial groups of Africa. Terms such as ""Haitian"" or ""Negro"" can be used in addition to ""Black or African American"". (OMB)",
native hawaiian or other pacific islander,"A person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands. (OMB)",
white,"A person having origins in any of the original peoples of Europe, the Middle East, or North Africa. (OMB)",
other,Different than the one(s) previously specified or mentioned.,
Unknown,"Not known, not observed, not recorded, or refused.",
unknown,"Not known, not observed, not recorded, or refused.",
not reported,Not provided or available.,
not allowed to collect,An indicator that specifies that a collection event was not permitted.,
