"source_study","target_study","source_var_name","target_var_name","source_var_label","target_var_label","class_label","match_label"
"aachen-hf","aric","Atrialfibrillation","atrial_fibrillation","History of atrial fibrillation","Atrial fibrillation","identical match",1
"aachen-hf","aric","age","age_at_visit_1","age at visit","AGE AT VISIT 1 (baseline)","identical match",0
"aachen-hf","aric","Smoker","stroke","smoking status","Stroke status","not applicable",0
"aachen-hf","aric","Smoker","symptomatic_coronary_heart_disease","smoking status","SYMPTOMATIC CORONARY HEART DISEASE","not applicable",0
"aachen-hf","aric","Smoker","drink_alcoholic_beverage_q90","smoking status","Alcohol (servings per week)","not applicable",0
"aachen-hf","aric","CKD","usual_of_hard_liquor_drinkswk_q19a","History of chronic kidney disease,","USUAL # OF HARD LIQUOR DRINKS/WK Q19A","not applicable",0
"aachen-hf","aric","diuretics","used_aspirincontaining_analgesics_at_visit_1_in_last_2_weeks_0no_1yes_based_on_2","Diuretics","Taking aspirin in last 2 weeks at Visit 1 baseline","not applicable",1
"aachen-hf","aric","Historyofstroke","stroke","History of stroke","Stroke status","partial match",1
"aachen-hf","aric","Historyofstroke","tia","History of stroke","Transient ischemic attack status","partial match",1
"aachen-hf","aric","BMI","body_mass_index_in_kgmm","body mass index","Body mass index (kg/m2)","identical match",1
"aachen-hf","aric","BMI","body_mass_index_in_kgm2","body mass index","Body mass index (kg/m2)","identical match",1
"aachen-hf","aric","Hypertension","carotid_bruits_q10","History of hypertension","Carotid stenosis","not applicable",0
"aachen-hf","aric","HistoryofCABG","stroke","History of Coronary artery bypass graft surgery","Stroke status","not applicable",0
"aachen-hf","aric","HistoryofCABG","symptomatic_coronary_heart_disease","History of Coronary artery bypass graft surgery","SYMPTOMATIC CORONARY HEART DISEASE","not applicable",1
"aachen-hf","aric","Peripheralarterydisease","rose_intermittent_claudication_def_3","History of peripheral artery disease","Intermittent claudication: symptom of peripheral artery disease","partial match",0
"aachen-hf","aric","Creatinine","creatinine_mgdl_q9","creatinine","Creatinine (mg/dL)","compatible match",1
"aachen-hf","aric","Creatinine","creatinine_mg_per_dl_dec_pt_req_q8","creatinine","Creatinine (mg/dL)","compatible match",1
"aachen-hf","aric","Creatinine","creatinine_serum_mgdl","creatinine","Creatinine (mg/dL)","compatible match",1
"aachen-hf","aric","Smoker","current_cigarette_smoker","Smoking status","CURRENT CIGARETTE SMOKER","partial match",1
"aachen-hf","aric","Smoker","current_smoker_flag","Smoking status","CURRENT CIGARETTE SMOKER","partial match",1
"aachen-hf","aric","Smoker","current_smoker","Smoking status","CURRENT CIGARETTE SMOKER","partial match",1
"aachen-hf","aric","Smoker","current_cigarette_smoker","Smoking status","CURRENT CIGARETTE SMOKER","partial match",1
"aachen-hf","aric","Diabetes","diabetes_w_fasting_glucose_cutpt126","History of diabetes","DIABETES with fasting glucose","identical match",1
"aachen-hf","aric","Diabetes","diabts22_using_chmb07126","History of diabetes","DIABETES using 126 mg/dL CGM Reading","identical match",1
"aachen-hf","aric","Diabetes","diabetes_using_lower_cutpoint_126_mgdl","History of diabetes","Diabetes fasting plasma glucose (FPG) of 126 mg/dL or higher","identical match",1
"aachen-hf","aric","Smoker","HDL-cholesterol","smoking status","RE-CALIBRATED HDL CHOL. in mg/dl","not applicable",0
"aachen-hf","aric","HDLC","HDL-cholesterol","HDL-cholesterol","RE-CALIBRATED HDL CHOL. in mg/dl","compatible match",1
"aachen-hf","aric","HDLC","hdl_cholestrerol_value_q3a","HDL-cholesterol","HDL cholesterol","compatible match",1
"aachen-hf","aric","HDLC","hdl_cholesterol_value_in_mgdl_q3a","HDL-cholesterol","HDL cholesterol","compatible match",1
"aachen-hf","aric","HDLC","hdl_cholesterol_value_q3a","HDL-cholesterol","HDL cholesterol","compatible match",1
"aachen-hf","aric","HDLC","hdlccholesterol_mgdl","HDL-cholesterol","HDLC-Cholesterol (mg/dL)","compatible match",1
"aachen-hf","aric","Height","standing_height_to_nearest_cm_q1","Height","Standing height (to the nearest cm)","identical match",1
"aachen-hf","aric","Height","standing_height_cm","Height","Standing height (cm)","identical match",1
"aachen-hf","aric","Historyofmyocardialinfarction","history_of_myocardial_infarction","History of myocardial infarction","HISTORY OF MYOCARDIAL INFARCTION","identical match",1
"aachen-hf","aric","LDLC","recalibrated_ldl_chol_in_mgdl","LDL-cholesterol","RE-CALIBRATED LDL CHOL. in mg/dl","compatible match",1
"aachen-hf","aric","LDLC","v2_recalculated_ldlc_in_mgdl","LDL-cholesterol","re-calculated LDL-C in mg/dl  at visit 2","not applicable",0
"aachen-hf","aric","LDLC","recalibrated_ldl_cholesterol_in_mgdl","LDL-cholesterol","Re-Calibrated LDL Cholesterol in mg/dL","compatible match",1
"aachen-hf","aric","LDLC","v4_recalculated_ldl_cholesterol","LDL-cholesterol","Recalculated LDL Cholesterol at visit 4","not applicable",0
"aachen-hf","aric","LDLC","ldlcccholesterol_calculated_mgdl","LDL-cholesterol","LDLCC-Cholesterol calculated (mg/dL)","compatible match",1
"aachen-hf","aric","LVEF","lvh_present_by_cornell_definition","left ventricular ejection fraction","Left ventricular hypertrophy","not applicable",1
"aachen-hf","aric","sex","sex_from_ftra22","sex","Participant gender(0=Female, 1=Male)","compatible match",1
"aachen-hf","aric","SBP","avg_systolic_mmhg","Systolic Blood pressure (sbp) at baseline recumbent position","systolic blood pressure","identical match",1
"aachen-hf","aric","Weight","weight_to_the_nearest_lb_q4","weight","WEIGHT TO THE NEAREST in LB","compatible match",1
"aachen-hf","aric","Weight","weight_to_nearest_lb_q1","weight","WEIGHT TO NEAREST in LB","compatible match",1
"aachen-hf","aric","Weight","weight_to_nearest_lb_q2","weight","WEIGHT TO NEAREST in lb","compatible match",1
"aachen-hf","aric","Weight","weight_kg","weight","Weight (kg)","identical match",1
"aachen-hf","aric","Fatigue","tia","fatigue symptom severity","Transient ischemic attack status","not applicable",1
"aachen-hf","aric","LVEF_cat","new_maternal_history_of_stroke","heart failure type base on ejection fraction,","Family history of stroke, Mother or Fathe","not applicable",0
"aachen-hf","aric","LVEF_cat","history_of_myocardial_infarction","heart failure type base on ejection fraction,","HISTORY OF MYOCARDIAL INFARCTION","not applicable",0
"aachen-hf","viennahf-register","BMI","BMI","left ventricular (LV) end-systolic volume index (ESVI) at baseline visit","body mass index","not applicable",0
"aachen-hf","viennahf-register","HbA1c","HbA1c","sex hormone-binding globulin (SHBG) at baseline","HBA1c","not applicable",0
"ADNI","NACC","APGEN1","NACCAPOE","first allele of the APOE gene","Combined genotype showing both alleles of the apolipoprotein E (APOE) gene","identical match",1
"ADNI","NACC","APGEN2","NACCAPOE","second allele of the APOE gene","Combined genotype showing both alleles of the apolipoprotein E (APOE) gene","identical match",1
"ADNI","NACC","PTID","NACCID","Participant ID","Subject ID number","identical match",1
"ADNI","NACC","ABETA","CSFABETA","A-beta 1-42 in CSF","Cerebrospinal fluid amyloid-beta 42 (CSF ABETA)","identical match",1
"ADNI","NACC","VISCODE","NACCVNUM","Visit code","UDS visit number (order)","identical match",1
"ADNI","NACC","Age","NACCAGE","Age","Age","identical match",1
"ADNI","NACC","PTGENDER","SEX","Participant Gender ( 1=Male;2=Female)","Subject 's sex","identical match",1
"ADNI","NACC","PTEDUCAT","EDUC","Education","Years of education","identical match",1
"ADNI","NACC","PTRACCAT","RACE","Race (1=American Indian or Alaskan Native; 2=Asian; 3=Native Hawaiian or Other Pacific Islander; 4=Black or African American; 5=White; 6=More than one race; 7=Unknown)","Race","identical match",1
"ADNI","NACC","PTMARRY","MARISTAT","Marital  status (1=Married; 2=Widowed; 3=Divorced; 4=Never married; 5=Unknown)","Marital status","identical match",1
"ADNI","NACC","FDG","FDGAD","Average FDG-PET (F-Fluorodeoxyglucose (FDG) PET) of angular, temporal, and posterior cingulate","FDG-PET pattern of AD","identical match",1
"ADNI","NACC","AV45","AMYLPET","Reference region - florbetapir mean of whole cerebellum. Regions defined by Freesurfer; see Jagust lab PDF on LONI for details","Abnormally elevated amyloid on PET","identical match",1
"ADNI","NACC","CDRSB","CDRSUM","Clinical Dementia Rating (CDR) Sum of Boxes.","CDR® sum of boxes","identical match",1
