"VARIABLENAME","VARIABLELABEL","VARTYPE","UNITS","CATEGORICAL","MISSING","COUNT","NA","MIN","MAX","FORMULA","CATEGORICAL VALUE CONCEPT CODE","CATEGORICAL VALUE CONCEPT NAME","CATEGORICAL VALUE OMOP ID","VARIABLE CONCEPT CODE","VARIABLE CONCEPT NAME","VARIABLE OMOP ID","ADDITIONAL CONTEXT CONCEPT NAME","ADDITIONAL CONTEXT CONCEPT CODE","ADDITIONAL CONTEXT OMOP ID","UNIT CONCEPT NAME","UNIT CONCEPT CODE","UNIT OMOP ID","DOMAIN","VISITS","VISIT OMOP ID","VISIT CONCEPT NAME","VISIT CONCEPT CODE"
"atrial_fibrillation","Atrial fibrillation","INT",,"0=No|1=Yes",,,,,,,"SNOMED:373067005|SNOMED:373066001","No|Yes","4188540|4188539","SNOMED:312442005","H/O: atrial fibrillation",4194288,,,,,,,"Condition_Occurrence","baseline",1006364,"Baseline time","LOINC:LP115770-2"
"incident_af","Incident Atrial fibrillation","INT",,"0=No|1=Yes",,,,,,,"SNOMED:373067005|SNOMED:373066001","No|Yes","4188540|4188539","SNOMED:49436004","Atrial fibrillation",313217,"Incidental","SNOMED:261087003",4118861,,,,"Condition_Occurrence","baseline",1006364,"Baseline time","LOINC:LP115770-2"
"time_to_incident_af","time to incident of Atrial fibrillation","INT",,"0=No|1=Yes",,,,,,,,,,"SNOMED:49436004","Atrial fibrillation",313217,"Time since injury","SNOMED:246136009",4078490,"day","UCUM:d",8512,"Condition_Occurrence","baseline",1006364,"Baseline time","LOINC:LP115770-2"
"atrial_fibrillation_days_since_exam_1","Incident Atrial fibrillation DAYS SINCE EXAM 1","INT","days",,,,,,,,,,,"SNOMED:49436004","Atrial fibrillation",313217,"Time since injury","SNOMED:246136009",4078490,"day","UCUM:d",8512,"Condition_Occurrence","baseline",1006364,"Baseline time","LOINC:LP115770-2"
"age_at_visit_1","AGE AT VISIT 1 (baseline)","INT","years",,,,,,,,,,,"SNOMED:397669002","Age",4265453,,,,"year","UCUM:a",9448,"Observation","baseline",1006364,"Baseline time","LOINC:LP115770-2"
"age_at_visit_2","Age at Visit 2","INT","years",,,,,,,,,,,"SNOMED:397669002","Age",4265453,,,,"year","UCUM:a",9448,"Observation","visit_2",44818519,"Follow-up visit","OMOP:44818519"
"age_at_visit_3","Age at Visit 3","INT","years",,,,,,,,,,,"SNOMED:397669002","Age",4265453,,,,"year","UCUM:a",9448,"Observation","visit_3",44818519,"Follow-up visit","OMOP:44818519"
"age_at_visit_4","Age at Visit 4","INT","years",,,,,,,,,,,"SNOMED:397669002","Age",4265453,,,,"year","UCUM:a",9448,"Observation","visit_4",44818519,"Follow-up visit","OMOP:44818519"
"corrected_visit_5_age","Corrected Visit 5 age","INT","years",,,,,,,,,,,"SNOMED:397669002","Age",4265453,,,,"year","UCUM:a",9448,"Observation","visit_5",44818519,"Follow-up visit","OMOP:44818519"
"drink_alcoholic_beverage_q90","Alcohol (servings per week)","INT","servings/week",,,,,,,,,,,"SNOMED:897148007","Alcoholic beverage intake",619635,,,,"per week","UCUM:/w",44777559,"Observation","baseline",1006364,"Baseline time","LOINC:LP115770-2"
