VARIABLENAME,VARIABLELABEL,VARTYPE,UNITS,CATEGORICAL,MISSING,COUNT,NA,MIN,MAX,Formula,Categorical Value Concept Code,Categorical Value Concept Name,Categorical Value OMOP ID,Variable Concept Code,Variable Concept Name,Variable OMOP ID,Additional Context Concept Name,Additional Context Concept Code,Additional Context OMOP ID,Unit Concept Name,Unit Concept Code,Unit OMOP ID,Domain,Visits,Visit OMOP ID,Visit Concept Name,Visit Concept Code
codr1,Patient code R1,INT,,,,10989,0,1,9479,,,,,loinc:52463-7,Patient identification number,40757164,,,,,,,Person,Visit 1 / baseline,40766819,Baseline time,loinc:64103-5
dataeve,Worsening HF date,DATETIME,DD-MM-YYYY,,1,5259,5730,37484,39522,,,,,omop:OMOP5166003,Exacerbation of heart failure,1340348,Time,snomed:410669006,4256606,,,,Observation,event date,4208903,Date of event,SNOMED:439771001
valups,Evaluated in ER only,INT,,2= No| 3=Yes,1,5259,5730,2,3,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,Snomed:50849002,Emergency room admission ,4176269,Evaluation,Snomed:723051000000101,44803879,,,,Condition_occurrence,event date,4208903,Date of event,SNOMED:439771001
viscard,Visited by a cardiologist,INT,,2= No| 3=Yes,1,5259,5730,2,3,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:305662006,Seen by cardiologist,4139722,,,,,,,Observation,event date,4208903,Date of event,SNOMED:439771001
dayh,Day Hospital,INT,,2= No| 3=Yes,1,5259,5730,2,3,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,loinc:LP421190-2,Number of days hospitalized,36034302,Time,snomed:410669006,4256606,,,,Observation,event date,4208903,Date of event,SNOMED:439771001
ricovero,Hospitalization or prolonged hospitalization,INT,,2= No| 3=Yes,1,5259,5730,2,3,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,loinc:LP72712-0,History of hospitalization,1030615,,,,,,,Observation,event date,4208903,Date of event,SNOMED:439771001
infusiva,Infusion therapy,INT,,2= No| 3=Yes,1,5259,5730,2,3,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:416608005,Drug therapy,4216752,Infusion,Snomed:36576007,4269838,,,,Drug_Exposure,event date,4208903,Date of event,SNOMED:439771001
diuev,Diuretics (if Infusion therapy=Yes),STR,,F=No|T=Yes,,5259,5730,,,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,loinc:LP18047-8,Diuretics,40779413,,,,,,,Drug_Exposure,event date,4208903,Date of event,SNOMED:439771001
inoev,Inotropes (if Infusion therapy=Yes),STR,,F=No|T=Yes,,5259,5730,,,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:1296972008,Inotropic therapy,1243623,,,,,,,Drug_Exposure,event date,4208903,Date of event,SNOMED:439771001
vasoev,Vasodilators (if Infusion therapy=Yes),STR,,F=No|T=Yes,,5259,5730,,,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:870386000,Vasopressor therapy,3655896,,,,,,,Drug_Exposure,event date,4208903,Date of event,SNOMED:439771001
