source_attribute,target_attribute,similarity
weight,weight,1.0
bmi,bmi,1.0
gender,gender,1.0
name,name,1.0
height,height,1.0
comorbidities,comorbidities,1.0
age,age_at_index,0.9837255477905273
otheryear,figo_staging_edition_year,0.982232391834259
age70_80,age_at_diagnosis,0.9781217575073242
age02,relationship_age_at_diagnosis,0.9735612869262695
syst_dysf_age01,age_at_onset,0.9712287187576294
renalfailureaes,cog_renal_stage,0.9671536087989807
liver_dis,cog_liver_stage,0.9584767818450928
icd_all,icd_10_code,0.9561994671821594
weight3,current_weight,0.9442090392112732
diff_echo_ef_bl,pairs_on_diff_chr,0.9427937269210815
comorbidity_2,comorbidity_method_of_diagnosis,0.9425686597824097
icd,icd_10,0.926379919052124
weight1,initial_weight,0.9238718748092651
current_smoking,relative_smoker,0.9089118838310242
ef_centre_40_50,center_type,0.8955086469650269
centre,centers,0.8946055769920349
death_hosp_afterv6,days_to_death,0.8908023238182068
lateral,laterality,0.888171374797821
select_ef_bl_12,selected_normal_targeted_sequencing,0.8843445777893066
vascularaes,vascular_invasion_type,0.8841511011123657
daterecording_12,sequencing_date,0.8824275732040405
ulcerdiseaseaes,ulceration_indicator,0.8822741508483887
rinv1v2,rin,0.8810511827468872
diabetesaes,diabetes_treatment_type,0.8781100511550903
dateptcamonth,creation_datetime,0.8768268823623657
dateptcayear,year_of_diagnosis,0.8645793199539185
causemedigout,cause_of_response,0.8494601845741272
datecabgmonth,legacy_created_datetime,0.8488779067993164
number_events_death_hfhosp,cause_of_death_source,0.8477094173431396
lateral_18,biospecimen_laterality,0.8424131870269775
beat_kaufmann_selected,selected_normal_wxs,0.8413739800453186
smoking,years_smoked,0.8399909138679504
timeti_18,legacy_updated_datetime,0.8344436883926392
ef_centre_45,sequencing_center,0.8344002962112427
id_6,test_value,0.8330771923065186
timeti_12,updated_datetime,0.8312164545059204
nonadh_renalhypo_prop,pediatric_kidney_staging,0.8285461068153381
eosinophiles,percent_eosinophil_infiltration,0.8238758444786072
mean_bb_bl_6,mean_coverage,0.8218687772750854
minn_bl,shortest_dimension,0.8214222192764282
mitralklappemorphologie_12,mitotic_count,0.8198599815368652
mitralklappemorphologie_18,mitotic_total_area,0.8127204179763794
minn_18,fragment_minimum_length,0.8063512444496155
all_cause_death_hfhosp,cause_of_death,0.8053151965141296
costs_perday_lim,use_per_day,0.7951443195343018
dob,year_of_birth,0.7912327647209167
id_1,id,0.7902646064758301
days_hosplim_hf,days_to_sequencing,0.7837955951690674
gc1,percent_gc_content,0.7837247848510742
gal3bl_available,chipseq_target,0.7821276783943176
refdate,imaging_date,0.7777681350708008
ferritin_bl_z,fev1_fvc_pre_bronch_percent,0.7733752131462097
married01,marital_status,0.7647222876548767
qrsduur_groups,read_group_qcs,0.7603121399879456
ferritin_bl_median,fev1_ref_pre_bronch_percent,0.7591827511787415
dosespirobl,prescribed_dose,0.7575570940971375
metastasis,metastasis_at_diagnosis,0.7564998269081116
ef_centre,source_center,0.7562793493270874
bb_dose_bl,treatment_dose,0.7392218112945557
cysc_v6,cytoband,0.7385099530220032
filter_$,filtered_copy_number_segments,0.7374310493469238
delta_ferritin_bl_12,fev1_fvc_post_bronch_percent,0.736264169216156
days_hosplim,days_to_risk_factor,0.7354168891906738
nonadherence,state,0.7344561815261841
risk_estimate03,risk_factor_treatment,0.7334455847740173
changes_ras_06,aa_change,0.7296227216720581
relpossbacterialinfection,aids_risk_factors,0.7284125685691833
bb_mean_bl_1,average_base_quality,0.7266815900802612
fram_cong01_1,number_of_fractions,0.7257086634635925
tntaadi,inrg_stage,0.7199324369430542
date_first_hosp_hf,index_date,0.7194163203239441
cancer01,relative_with_cancer_history,0.718148410320282
costs_perday_outsidehosp,exposure_duration_hrs_per_day,0.713446855545044
prava_vs_atorva_bl,drug_category,0.7113500237464905
gc6,per_sequence_gc_content,0.7082479000091553
sample_nr_v1,samples,0.7077674865722656
la_overbelastingb_12,overrepresented_sequences,0.7050758600234985
hysterektomie,hysterectomy_type,0.7028008699417114
ov,ovarian_specimen_status,0.6982628107070923
vascularae_per_year,vascular_invasion_present,0.6980650424957275
maxcopdasthmaaeseverity,fragment_maximum_length,0.6954632997512817
glp2_bl_5groups,read_groups,0.6948351860046387
cancer,tumor_code_id,0.6909294724464417
lastfollowup,year_of_follow_up,0.690757691860199
glp2_bl_10groups,read_group_name,0.6900061964988708
analysis_12,expression_analysis_workflows,0.6881812810897827
max_bb_dose_diff2,treatment_dose_max,0.6849702000617981
rehab_duration,treatment_duration,0.6804827451705933
typmitral,type,0.6668047308921814
