"VARIABLENAME","VARIABLELABEL","VARTYPE","UNITS","CATEGORICAL","MISSING","COUNT","NA","MIN","MAX","Formula","Categorical Value Concept Code","Categorical Value Concept Name","Categorical Value OMOP ID","Variable Concept Code","Variable Concept Name","Variable OMOP ID","Additional Context Concept Name","Additional Context Concept Code","Additional Context OMOP ID","Unit Concept Name","Unit Concept Code","Unit OMOP ID","Domain","Visits","Visit OMOP ID","Visit Concept Name","Visit Concept Code"
"BASISPATIID","patient identification number","STR",,,,,,,,,,,,"snomed:184107009","Patient hospital number",4086934,,,,,,,"Person","visit date",46235916,"Visit date","loinc:76427-4"
"BASISDATUM","data of baseline visit","DATETIME","YYYY/MM/DD",,,,,,,,,,,"Loinc:76423-3","Date of first visit",46235913,,,,,,,"Observation","Baseline",40766819,"Baseline time","loinc:64103-5"
"GEBURTSDATUM","date of birth","DATETIME","YYYY/MM/DD",,,,,,,,,,,"snomed:184099003","Date of birth",4083587,,,,,,,"Person","visit date",46235916,"Visit date","loinc:76427-4"
"PATIENTENALTER","age at baseline","INT","years",,,,,,,,,,,"loinc:30525-0","Age",3022304,,,,,,,"Person","Baseline",40766819,"Baseline time","loinc:64103-5"
"GESCHLECHT","gender","INT",,"1=male|0=female",,,,,,,"loinc:LA2-8| loinc:LA3-6","Male|Female","45880669|45878463","loinc:76689-9","Sex assigned at birth",46235213,,,,,,,"Person","visit date",46235916,"Visit date","loinc:76427-4"
"Herzinsuffizienz","presence of heart failure","INT",,"1=yes|0=no",,,,,,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","snomed:84114007","Heart failure",316139,,,,,,,"condition_occurrence","visit date",46235916,"Visit date","loinc:76427-4"
"DatumHerzinsuffizienz","date of diagnosis of heart failure","DATETIME","YYYY/MM/DD",,,,,,,,,,,"snomed:84114007","Heart failure",316139,"Date of diagnosis","loinc: 63931-0",40766651,,,,"condition_occurrence","visit date",46235916,"Visit date","loinc:76427-4"
"LVEFArtHerzinsuffizienz","type of heart failure","STR",,"HFrEF=heart failure with reduced ejection fraction|HFmrEF=heart failure with mildly reduced ejection fraction|HFpEF=heart failure with preserved ejection fraction",,,,,,,"snomed:703272007|snomed:446221000|snomed:788950000","Heart failure with reduced ejection fraction|Heart failure with normal ejection fraction|Heart failure with mid range ejection fraction","45766164|40486933|37311948","snomed:84114007","heart failure",316139,"Type","snomed:410656007",4259643,,,,"condition_occurrence","visit date",46235916,"Visit date","loinc:76427-4"
"KoronareHerzkrankheit","presence of coronary arterial disease","INT",,"1=yes|0=no",,,,,,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","snomed:53741008","Coronary arteriosclerosis",317576,,,,,,,"condition_occurrence","visit date",46235916,"Visit date","loinc:76427-4"
"DatumKoronareHerzkrankheit","date of coronary arterial disease","DATETIME",,,,,,,,,,,,"snomed:53741008","Coronary arteriosclerosis",317576,"Date of diagnosis","loinc: 63931-0",40766651,,,,"condition_occurrence","visit date",46235916,"Visit date","loinc:76427-4"
"Myokardinfarkt","presence of past myocardial infarction","INT",,"1=yes|0=no",,,,,,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","Snomed:399211009","History of myocardial infarction",4163874,,,,,,,"condition_occurrence","visit date",46235916,"Visit date","loinc:76427-4"
"DatumMyokardinfarkt","date of past myocardial infarction","DATETIME",,,,,,,,,,,,"snomed:22298006","Myocardial infarction",4329847,"Date of diagnosis","loinc: 63931-0",40766651,,,,"condition_occurrence","visit date",46235916,"Visit date","loinc:76427-4"
"ElektiveKoronarstents","presence of elective coronary stents","INT",,"1=yes|0=no",,,,,,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","snomed:429381005","Endovascular insertion of stent",4181955,,,,,,,"condition_occurrence","visit date",46235916,"Visit date","loinc:76427-4"
"DatumGeplanteKoronarstents","date of the implantation of electivecoronary stents","DATETIME",,,,,,,,,,,,"snomed:429381005","Endovascular insertion of stent",4181955,"date of procedure","Snomed:439272007",4232096,,,,"condition_occurrence","visit date",46235916,"Visit date","loinc:76427-4"
"StenosenundWUs","presence of coronary arterial disease without significant stenosis","INT",,"1=yes|0=no",,,,,,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","snomed:719678003","Non-obstructive atherosclerosis of coronary artery",36714444,,,,,,,"condition_occurrence","visit date",46235916,"Visit date","loinc:76427-4"
"DatumStenosenundWUs","date of the diagnosis of coronary arterial disease without significant stenosis","DATETIME",,,,,,,,,,,,"snomed:719678003","Non-obstructive atherosclerosis of coronary artery",36714444,"Date of diagnosis","loinc: 63931-0",40766651,,,,"condition_occurrence","visit date",46235916,"Visit date","loinc:76427-4"
"ACBP","CABG - coronary artery bypass graft","INT",,"1=yes|0=no",,,,,,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","snomed:232717009","Coronary Artery Bypass Graft",4336464,,,,,,,"condition_occurrence","visit date",46235916,"Visit date","loinc:76427-4"
"DatumACBP","date of CABG","DATETIME",,,,,,,,,,,,"snomed:232717009","Coronary Artery Bypass Graft",4336464,"date of procedure","Snomed:439272007",4232096,,,,"condition_occurrence","visit date",46235916,"Visit date","loinc:76427-4"
"DatumLetzterHerzkatheter","date of last coronary angiography","DATETIME",,,,,,,,,,,,"snomed:41976001","Cardiac catheterization",4223020,"date of procedure","Snomed:439272007",4232096,,,,"condition_occurrence","visit date",46235916,"Visit date","loinc:76427-4"
"Klappenvitien","presence of significant valvular disease","INT",,"1=yes|0=no",,,,,,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","snomed:368009","Heart valve disorder",4281749,,,,,,,"condition_occurrence","visit date",46235916,"Visit date","loinc:76427-4"
"ArtAortenklappe","dropdown: Aortic valve regurgitation / stenosis / bicuspid / combined / prothesis degeneration","FLOAT",,,,,,,,,,,,"snomed:8722008","Aortic valve disorder",314054,,,,,,,"condition_occurrence","visit date",46235916,"Visit date","loinc:76427-4"
"ArtMitralklappe","dropdown: Mitral valve regurgitation / stenosis / primary vs secondary / combined / prothesis degeneration","FLOAT",,,,,,,,,,,,"snomed:11851006","Mitral valve disorder",319843,,,,,,,"condition_occurrence","visit date",46235916,"Visit date","loinc:76427-4"
"ArtTrikuspidalklappe","dropdown: tricuspid valve regurgitation / stenosis / primary vs secondary / combined / prothesis degeneration","FLOAT",,,,,,,,,,,,"snomed:20721001","Tricuspid valve disorder",316993,,,,,,,"condition_occurrence","visit date",46235916,"Visit date","loinc:76427-4"
