source_study,target_study,text1,text2,cosine,rank,mrr,r@1,r@3,r@5,r@10
aachen-hf,aric,History of atrial fibrillation,Atrial fibrillation,0.76235,1,1.0,True,True,True,True
aachen-hf,aric,age at visit,AGE AT VISIT 1 (baseline),0.82254,1,1.0,True,True,True,True
aachen-hf,aric,History of stroke,Stroke status,0.72799,4,0.25,False,False,True,True
aachen-hf,aric,History of stroke,Transient ischemic attack status,0.59099,16,0.0625,False,False,False,False
aachen-hf,aric,body mass index,Body mass index (kg/m2),0.91112,1,1.0,True,True,True,True
aachen-hf,aric,History of peripheral artery disease,Intermittent claudication: symptom of peripheral artery disease,0.6646,1,1.0,True,True,True,True
aachen-hf,aric,creatinine,Creatinine (mg/dL),0.74424,2,0.5,False,True,True,True
aachen-hf,aric,Smoking status,CURRENT CIGARETTE SMOKER,0.79592,4,0.25,False,False,True,True
aachen-hf,aric,History of diabetes,DIABETES with fasting glucose,0.58325,11,0.09090909090909091,False,False,False,False
aachen-hf,aric,History of diabetes,DIABETES using 126 mg/dL CGM Reading,0.45723,74,0.013513513513513514,False,False,False,False
aachen-hf,aric,History of diabetes,Diabetes fasting plasma glucose (FPG) of 126 mg/dL or higher,0.50128,34,0.029411764705882353,False,False,False,False
aachen-hf,aric,HDL-cholesterol,RE-CALIBRATED HDL CHOL. in mg/dl,0.71342,5,0.2,False,False,True,True
aachen-hf,aric,HDL-cholesterol,HDL cholesterol,0.96118,2,0.5,False,True,True,True
aachen-hf,aric,HDL-cholesterol,HDLC-Cholesterol (mg/dL),0.84697,3,0.3333333333333333,False,True,True,True
aachen-hf,aric,Height,Standing height (to the nearest cm),0.63355,5,0.2,False,False,True,True
aachen-hf,aric,Height,Standing height (cm),0.68506,3,0.3333333333333333,False,True,True,True
aachen-hf,aric,History of myocardial infarction,HISTORY OF MYOCARDIAL INFARCTION,1.0,1,1.0,True,True,True,True
aachen-hf,aric,LDL-cholesterol,RE-CALIBRATED LDL CHOL. in mg/dl,0.72628,8,0.125,False,False,False,True
aachen-hf,aric,LDL-cholesterol,Re-Calibrated LDL Cholesterol in mg/dL,0.74043,6,0.16666666666666666,False,False,False,True
aachen-hf,aric,LDL-cholesterol,LDLCC-Cholesterol calculated (mg/dL),0.84565,1,1.0,True,True,True,True
aachen-hf,aric,sex,"Participant gender(0=Female, 1=Male)",0.62392,4,0.25,False,False,True,True
aachen-hf,aric,Systolic Blood pressure (sbp) at baseline recumbent position,systolic blood pressure,0.75156,1,1.0,True,True,True,True
aachen-hf,aric,weight,WEIGHT TO THE NEAREST in LB,0.53472,36,0.027777777777777776,False,False,False,False
aachen-hf,aric,weight,WEIGHT TO NEAREST in LB,0.6486,3,0.3333333333333333,False,True,True,True
aachen-hf,aric,weight,WEIGHT TO NEAREST in lb,0.6486,3,0.3333333333333333,False,True,True,True
aachen-hf,aric,weight,Weight (kg),0.7895,1,1.0,True,True,True,True
adni,nacc,first allele of the APOE gene,Combined genotype showing both alleles of the apolipoprotein E (APOE) gene,0.78013,2,0.5,False,True,True,True
adni,nacc,second allele of the APOE gene,Combined genotype showing both alleles of the apolipoprotein E (APOE) gene,0.8289,2,0.5,False,True,True,True
adni,nacc,Participant ID,Subject ID number,0.66867,6,0.16666666666666666,False,False,False,True
adni,nacc,A-beta 1-42 in CSF,Cerebrospinal fluid amyloid-beta 42 (CSF ABETA),0.78617,1,1.0,True,True,True,True
adni,nacc,Visit code,UDS visit number (order),0.61414,4,0.25,False,False,True,True
adni,nacc,Age,Age,1.0,1,1.0,True,True,True,True
adni,nacc,Participant Gender ( 1=Male;2=Female),Subject 's sex,0.75547,3,0.3333333333333333,False,True,True,True
adni,nacc,Education,Years of education,0.682,2,0.5,False,True,True,True
adni,nacc,Race (1=American Indian or Alaskan Native; 2=Asian; 3=Native Hawaiian or Other Pacific Islander; 4=Black or African American; 5=White; 6=More than one race; 7=Unknown),Race,0.5159,4,0.25,False,False,True,True
adni,nacc,Marital  status (1=Married; 2=Widowed; 3=Divorced; 4=Never married; 5=Unknown),Marital status,0.71439,1,1.0,True,True,True,True
adni,nacc,"Average FDG-PET (F-Fluorodeoxyglucose (FDG) PET) of angular, temporal, and posterior cingulate",FDG-PET pattern of AD,0.7539,1,1.0,True,True,True,True
adni,nacc,Reference region - florbetapir mean of whole cerebellum. Regions defined by Freesurfer; see Jagust lab PDF on LONI for details,Abnormally elevated amyloid on PET,0.44962,113,0.008849557522123894,False,False,False,False
adni,nacc,Clinical Dementia Rating (CDR) Sum of Boxes.,CDR® sum of boxes,0.64745,9,0.1111111111111111,False,False,False,True
adni,nacc,Mini-Mental State Examination (MMSE),Total MMSE score (using D-L-R-O-W),0.66328,4,0.25,False,False,True,True
adni,nacc,Participant diagnosis,"Primary etiologic diagnosis (MCI); impaired, not MCI; or dementia",0.46899,83,0.012048192771084338,False,False,False,False
adni,nacc,Montreal Cognitive Assessment (MoCA),MoCA Total Raw Score ??uncorrected,0.80628,1,1.0,True,True,True,True
adni,nacc,CSF PTAU (Cerebrospinal fluid (CSF) phosphorylated tau (p-tau),Phosphorylated Tau Protein Measurement,0.74916,2,0.5,False,True,True,True
adni,amed,Participant ID,patient id,0.81189,1,1.0,True,True,True,True
adni,amed,Visit code,Visit Number,0.75007,1,1.0,True,True,True,True
adni,amed,Age,Age,1.0,1,1.0,True,True,True,True
adni,amed,Participant Gender ( 1=Male;2=Female),Participant Gender,0.78772,2,0.5,False,True,True,True
adni,amed,Education,Participant Education,0.7537,1,1.0,True,True,True,True
adni,amed,Marital  status (1=Married; 2=Widowed; 3=Divorced; 4=Never married; 5=Unknown),Participant Marital Status,0.65178,2,0.5,False,True,True,True
adni,amed,Height,participant height,0.77237,2,0.5,False,True,True,True
adni,amed,weight,participant weight,0.72908,2,0.5,False,True,True,True
adni,amed,Type of Participant residence (1=House (owned or rented); 2=Condo/Co-op (owned); 3=Apartment (rented); 4=Mobile Home; 5=Retirement Community; 6=Assisted Living; 7=Skilled Nursing Facility; 8=Other (specify),Type of Participant residence,0.59554,1,1.0,True,True,True,True
adni,amed,"If yes, did/does biological mother have Alzheimer's Disease (0=No;1=Yes)?",family history: dimentia mother,0.50203,24,0.041666666666666664,False,False,False,False
adni,amed,"If yes, did/does biological father have Alzheimer's Disease? (0=No;1=Yes)",family history: dimentia father,0.54417,8,0.125,False,False,False,True
adni,amed,history of drug abuse (1=Yes; 0=No),Does the participant have a history of alcohol or substance abuse or dependence within the past 2 years (DSM IV criteria)?,0.67498,3,0.3333333333333333,False,True,True,True
adni,amed,history of alchol abuse (1=Yes; 0=No),Does the participant have a history of alcohol or substance abuse or dependence within the past 2 years (DSM IV criteria)?,0.67364,2,0.5,False,True,True,True
adni,amed,"Average FDG-PET (F-Fluorodeoxyglucose (FDG) PET) of angular, temporal, and posterior cingulate",Average FDG-PET score,0.75097,2,0.5,False,True,True,True
adni,epad,Participant ID,Patient ID,0.81189,1,1.0,True,True,True,True
adni,epad,Visit code,Visit Number,0.75007,1,1.0,True,True,True,True
adni,epad,Participant Gender ( 1=Male;2=Female),What is the sex of the subject?,0.72465,4,0.25,False,False,True,True
adni,epad,Age,What is the subject's age?,0.70293,2,0.5,False,True,True,True
adni,epad,Education,Number of years of formal education,0.61372,4,0.25,False,False,True,True
adni,epad,Marital  status (1=Married; 2=Widowed; 3=Divorced; 4=Never married; 5=Unknown),Marital status,0.71439,1,1.0,True,True,True,True
adni,epad,Ethnicity (1=Hispanic or Latino; 2=Not Hispanic or Latino; 3=Unknown),What is the ethnicity of the subject?,0.67614,2,0.5,False,True,True,True
adni,epad,Genotype - Allele 1,Genotype - Allele 1,1.0,1,1.0,True,True,True,True
adni,epad,Genotype - Allele 1,Genotype - Allele 2,0.8574,1,1.0,True,True,True,True
adni,amed,Participant diagnosis,Pre-visit Diagnosis,0.62321,6,0.16666666666666666,False,False,False,True
adni,epad,Participant diagnosis,Dementia diagnosed by the participant's physician?,0.5095,40,0.025,False,False,False,False
adni,epad,Clinical Dementia Rating (CDR) scale (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0),Global CDR Score,0.5107,14,0.07142857142857142,False,False,False,False
adni,epad,Clinical Dementia Rating (CDR) Memory (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0),Memory,0.42593,55,0.01818181818181818,False,False,False,False
adni,epad,Clinical Dementia Rating (CDR) Orientation (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0),Orientation,0.40955,70,0.014285714285714285,False,False,False,False
adni,epad,Clinical Dementia Rating (CDR) Judgment and problem solving (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0),Judgement and Problem Solving,0.3712,138,0.007246376811594203,False,False,False,False
adni,epad,Clinical Dementia Rating (CDR) Community affairs,Community Affairs,0.49686,24,0.041666666666666664,False,False,False,False
adni,epad,Clinical Dementia Rating (CDR) Home and hobbies (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0),Home and Hobbies,0.38934,124,0.008064516129032258,False,False,False,False
adni,epad,Clinical Dementia Rating (CDR) Personal care (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0),Personal Care,0.37069,128,0.0078125,False,False,False,False
adni,epad,Clinical Dementia Rating (CDR) Sum of Boxes.,CDR Sum of Boxes,0.64442,11,0.09090909090909091,False,False,False,False
adni,amed,Clinical Dementia Rating (CDR) scale (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0),Global CDR,0.4822,22,0.045454545454545456,False,False,False,False
adni,amed,Clinical Dementia Rating (CDR) Memory (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0),Score <!--Memory-->,0.47307,26,0.038461538461538464,False,False,False,False
adni,amed,Clinical Dementia Rating (CDR) Orientation (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0),Score <!--Orientation-->,0.44751,37,0.02702702702702703,False,False,False,False
adni,amed,Clinical Dementia Rating (CDR) Judgment and problem solving (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0),Score <!--Judgment and Problem Solving-->,0.44662,48,0.020833333333333332,False,False,False,False
adni,amed,Clinical Dementia Rating (CDR) Community affairs,Score <!--Community Affairs-->,0.45791,30,0.03333333333333333,False,False,False,False
adni,amed,Clinical Dementia Rating (CDR) Home and hobbies (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0),Score <!--Home and Hobbies-->,0.4997,22,0.045454545454545456,False,False,False,False
adni,amed,Clinical Dementia Rating (CDR) Personal care (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0),Score <!--Personal Care-->,0.43282,39,0.02564102564102564,False,False,False,False
adni,amed,Clinical Dementia Rating (CDR) Sum of Boxes.,Sum of Boxes,0.47838,39,0.02564102564102564,False,False,False,False
adni,nacc,Clinical Dementia Rating (CDR) scale (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0),Global CDR®,0.44085,39,0.02564102564102564,False,False,False,False
adni,nacc,Clinical Dementia Rating (CDR) Memory (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0),Memory,0.42593,55,0.01818181818181818,False,False,False,False
