model,threshold,top_k,precision,recall,f1
biolord,0.0,5,0.1933,0.9391,0.3205
biolord,0.0,10,0.098,0.9528,0.1778
biolord,0.0,15,0.0655,0.9547,0.1226
biolord,0.0,20,0.0496,0.9611,0.0944
biolord,0.5,5,0.5892,0.7907,0.6606
biolord,0.5,10,0.5754,0.7907,0.6484
biolord,0.5,15,0.5754,0.7907,0.6484
biolord,0.5,20,0.5754,0.7907,0.6484
biolord,0.55,5,0.6623,0.7494,0.6935
biolord,0.55,10,0.6579,0.7494,0.6902
biolord,0.55,15,0.6579,0.7494,0.6902
biolord,0.55,20,0.6579,0.7494,0.6902
biolord,0.6,5,0.729,0.6677,0.6911
biolord,0.6,10,0.7282,0.6677,0.6907
biolord,0.6,15,0.7282,0.6677,0.6907
biolord,0.6,20,0.7282,0.6677,0.6907
biolord,0.65,5,0.8148,0.596,0.6836
biolord,0.65,10,0.8148,0.596,0.6836
biolord,0.65,15,0.8148,0.596,0.6836
biolord,0.65,20,0.8148,0.596,0.6836
biolord,0.7,5,0.9121,0.4688,0.6102
biolord,0.7,10,0.9121,0.4688,0.6102
biolord,0.7,15,0.9121,0.4688,0.6102
biolord,0.7,20,0.9121,0.4688,0.6102
biolord,0.75,5,0.9504,0.3831,0.5384
biolord,0.75,10,0.9504,0.3831,0.5384
biolord,0.75,15,0.9504,0.3831,0.5384
biolord,0.75,20,0.9504,0.3831,0.5384
biolord,0.8,5,0.9573,0.2492,0.3838
biolord,0.8,10,0.9573,0.2492,0.3838
biolord,0.8,15,0.9573,0.2492,0.3838
biolord,0.8,20,0.9573,0.2492,0.3838
biolord,0.85,5,0.8194,0.159,0.2577
biolord,0.85,10,0.8194,0.159,0.2577
biolord,0.85,15,0.8194,0.159,0.2577
biolord,0.85,20,0.8194,0.159,0.2577
biolord,0.9,5,0.6667,0.0763,0.1349
biolord,0.9,10,0.6667,0.0763,0.1349
biolord,0.9,15,0.6667,0.0763,0.1349
biolord,0.9,20,0.6667,0.0763,0.1349
biolord,0.95,5,0.1667,0.0152,0.0278
biolord,0.95,10,0.1667,0.0152,0.0278
biolord,0.95,15,0.1667,0.0152,0.0278
biolord,0.95,20,0.1667,0.0152,0.0278
sapbert,0.0,5,0.1819,0.8861,0.3018
sapbert,0.0,10,0.095,0.9243,0.1723
sapbert,0.0,15,0.064,0.9338,0.1199
sapbert,0.0,20,0.0481,0.9351,0.0915
sapbert,0.5,5,0.4035,0.7345,0.5027
sapbert,0.5,10,0.3626,0.7449,0.4628
sapbert,0.5,15,0.351,0.7449,0.4491
sapbert,0.5,20,0.3481,0.7449,0.4459
sapbert,0.55,5,0.5534,0.6562,0.5836
sapbert,0.55,10,0.522,0.6619,0.5583
sapbert,0.55,15,0.5147,0.6619,0.5508
sapbert,0.55,20,0.5137,0.6619,0.55
sapbert,0.6,5,0.6132,0.5856,0.5782
sapbert,0.6,10,0.5847,0.5913,0.5636
sapbert,0.6,15,0.5782,0.5913,0.559
sapbert,0.6,20,0.5773,0.5913,0.5585
sapbert,0.65,5,0.6367,0.482,0.5161
sapbert,0.65,10,0.6059,0.482,0.5027
sapbert,0.65,15,0.598,0.482,0.4987
sapbert,0.65,20,0.5967,0.482,0.4979
sapbert,0.7,5,0.65,0.4273,0.4811
sapbert,0.7,10,0.616,0.4273,0.4686
sapbert,0.7,15,0.6091,0.4273,0.4657
sapbert,0.7,20,0.6087,0.4273,0.4655
sapbert,0.75,5,0.6808,0.3642,0.4356
sapbert,0.75,10,0.6503,0.3642,0.4258
sapbert,0.75,15,0.6457,0.3642,0.4246
sapbert,0.75,20,0.6457,0.3642,0.4246
sapbert,0.8,5,0.7669,0.2484,0.347
sapbert,0.8,10,0.7567,0.2484,0.3458
sapbert,0.8,15,0.7567,0.2484,0.3458
sapbert,0.8,20,0.7567,0.2484,0.3458
sapbert,0.85,5,0.9481,0.2008,0.2943
sapbert,0.85,10,0.9481,0.2008,0.2943
sapbert,0.85,15,0.9481,0.2008,0.2943
sapbert,0.85,20,0.9481,0.2008,0.2943
sapbert,0.9,5,1.0,0.0767,0.1386
sapbert,0.9,10,1.0,0.0767,0.1386
sapbert,0.9,15,1.0,0.0767,0.1386
sapbert,0.9,20,1.0,0.0767,0.1386
sapbert,0.95,5,0.5,0.0215,0.0402
sapbert,0.95,10,0.5,0.0215,0.0402
sapbert,0.95,15,0.5,0.0215,0.0402
sapbert,0.95,20,0.5,0.0215,0.0402
qwen3-0.6b,0.0,5,0.1838,0.893,0.3047
qwen3-0.6b,0.0,10,0.0948,0.9205,0.1718
qwen3-0.6b,0.0,15,0.0641,0.9346,0.12
qwen3-0.6b,0.0,20,0.0485,0.9421,0.0922
qwen3-0.6b,0.5,5,0.1838,0.893,0.3047
qwen3-0.6b,0.5,10,0.0948,0.9205,0.1718
qwen3-0.6b,0.5,15,0.0641,0.9346,0.12
qwen3-0.6b,0.5,20,0.0487,0.9421,0.0926
qwen3-0.6b,0.55,5,0.1836,0.8915,0.3044
qwen3-0.6b,0.55,10,0.0949,0.919,0.1721
qwen3-0.6b,0.55,15,0.065,0.9331,0.1215
qwen3-0.6b,0.55,20,0.0498,0.9406,0.0945
qwen3-0.6b,0.6,5,0.1866,0.8915,0.3084
qwen3-0.6b,0.6,10,0.0982,0.9175,0.1771
qwen3-0.6b,0.6,15,0.0678,0.9316,0.1263
qwen3-0.6b,0.6,20,0.0528,0.939,0.0998
qwen3-0.6b,0.65,5,0.1919,0.8825,0.3145
qwen3-0.6b,0.65,10,0.1075,0.9011,0.1911
qwen3-0.6b,0.65,15,0.081,0.9136,0.1476
qwen3-0.6b,0.65,20,0.0691,0.9198,0.1268
qwen3-0.6b,0.7,5,0.2393,0.8577,0.3709
qwen3-0.6b,0.7,10,0.1655,0.8654,0.2718
qwen3-0.6b,0.7,15,0.1437,0.8669,0.2386
qwen3-0.6b,0.7,20,0.1357,0.8669,0.2257
qwen3-0.6b,0.75,5,0.4522,0.8133,0.5649
qwen3-0.6b,0.75,10,0.3929,0.8164,0.5011
qwen3-0.6b,0.75,15,0.3775,0.8164,0.481
qwen3-0.6b,0.75,20,0.3758,0.8164,0.4788
qwen3-0.6b,0.8,5,0.6497,0.646,0.6203
qwen3-0.6b,0.8,10,0.6188,0.646,0.5937
qwen3-0.6b,0.8,15,0.615,0.646,0.5895
qwen3-0.6b,0.8,20,0.615,0.646,0.5895
qwen3-0.6b,0.85,5,0.851,0.4365,0.5467
qwen3-0.6b,0.85,10,0.8442,0.4365,0.5434
qwen3-0.6b,0.85,15,0.8442,0.4365,0.5434
qwen3-0.6b,0.85,20,0.8442,0.4365,0.5434
qwen3-0.6b,0.9,5,0.809,0.2244,0.3355
qwen3-0.6b,0.9,10,0.809,0.2244,0.3355
qwen3-0.6b,0.9,15,0.809,0.2244,0.3355
qwen3-0.6b,0.9,20,0.809,0.2244,0.3355
qwen3-0.6b,0.95,5,0.5,0.0759,0.1181
qwen3-0.6b,0.95,10,0.5,0.0759,0.1181
qwen3-0.6b,0.95,15,0.5,0.0759,0.1181
qwen3-0.6b,0.95,20,0.5,0.0759,0.1181
openai,0.0,5,0.1927,0.9369,0.3196
openai,0.0,10,0.0993,0.9653,0.1801
openai,0.0,15,0.0667,0.9727,0.1249
openai,0.0,20,0.0503,0.9773,0.0957
openai,0.5,5,0.6121,0.8263,0.6904
openai,0.5,10,0.6006,0.8263,0.6798
openai,0.5,15,0.5998,0.8263,0.679
openai,0.5,20,0.5998,0.8263,0.679
openai,0.55,5,0.7264,0.7543,0.7254
openai,0.55,10,0.7248,0.7543,0.7244
openai,0.55,15,0.7248,0.7543,0.7244
openai,0.55,20,0.7248,0.7543,0.7244
openai,0.6,5,0.7997,0.6298,0.689
openai,0.6,10,0.7997,0.6298,0.689
openai,0.6,15,0.7997,0.6298,0.689
openai,0.6,20,0.7997,0.6298,0.689
openai,0.65,5,0.8726,0.5029,0.6247
openai,0.65,10,0.8726,0.5029,0.6247
openai,0.65,15,0.8726,0.5029,0.6247
openai,0.65,20,0.8726,0.5029,0.6247
